"module_code","group_code","semester_code","weeks","day","start","end","location_code","area"
"YCC1121","L9","AY2021-1","1-6, 8-14",5,"16:00","17:30","Y-CR17","YNC"
"YCC1121","L10","AY2021-1","1-6, 8-14",2,"16:00","17:30","Y-BlackBox","YNC"
"YCC1121","L10","AY2021-1","1-6, 8-14",5,"16:00","17:30","Y-BlackBox","YNC"
"YCC1121","L12","AY2021-1","1-6, 8-14",2,"19:30","21:00","UTERC-ALR","UTown"
"YCC1121","L12","AY2021-1","1-6, 8-14",5,"19:30","21:00","UTERC-ALR","UTown"
"YCC1121","L13","AY2021-1","1-6, 8-14",2,"16:00","17:30","UT-AUD03","UTown"
"YCC1121","L13","AY2021-1","1-6, 8-14",5,"16:00","17:30","UT-AUD03","UTown"
"YCC1122","L1","AY2021-1","1-6, 8-14",1,"12:30","14:30","Y-PerfHall","YNC"
"YCC1122","L1","AY2021-1","1-6, 8-14",4,"12:30","14:30","Y-PerfHall","YNC"
"YCC1122","L2","AY2021-1","1-6, 8-14",1,"12:30","14:30","Y-CR15","YNC"
"YCC1122","L2","AY2021-1","1-6, 8-14",4,"12:30","14:30","Y-CR15","YNC"
"YCC1122","L3","AY2021-1","1-6, 8-14",1,"12:30","14:30","Y-TCTLT","YNC"
"YCC1122","L3","AY2021-1","1-6, 8-14",4,"12:30","14:30","Y-TCTLT","YNC"
"YCC1122","L4","AY2021-1","1-6, 8-14",1,"12:30","14:30",NA,NA
"YCC1122","L4","AY2021-1","1-6, 8-14",4,"12:30","14:30",NA,NA
"YCC1122","L5","AY2021-1","1-6, 8-14",1,"12:30","14:30","Y-CR17","YNC"
"YCC1122","L5","AY2021-1","1-6, 8-14",4,"12:30","14:30","Y-CR17","YNC"
"YCC1122","L6","AY2021-1","1-6, 8-14",1,"12:30","14:30","Y-GLRm1","YNC"
"YCC1122","L6","AY2021-1","1-6, 8-14",4,"12:30","14:30","Y-GLRm1","YNC"
"YCC1122","L7","AY2021-1","1-6, 8-14",1,"12:30","14:30","Y-BlackBox","YNC"
"YCC1122","L7","AY2021-1","1-6, 8-14",4,"12:30","14:30","Y-BlackBox","YNC"
"YCC1122","L8","AY2021-1","1-6, 8-14",1,"16:00","18:00","UTTP-GLR","UTown"
"YCC1122","L8","AY2021-1","1-6, 8-14",4,"16:00","18:00","UTTP-GLR","UTown"
"YCC1122","L9","AY2021-1","1-6, 8-14",1,"16:00","18:00","UTSRC-LT52","UTown"
"YCC1122","L9","AY2021-1","1-6, 8-14",4,"16:00","18:00","UTSRC-LT52","UTown"
"YCC1122","L10","AY2021-1","1-6, 8-14",1,"16:00","18:00","Y-CR15","YNC"
"YCC1122","L10","AY2021-1","1-6, 8-14",4,"16:00","18:00","Y-CR15","YNC"
"YCC1122","L11","AY2021-1","1-6, 8-14",1,"16:00","18:00","Y-CR17","YNC"
"YCC1122","L11","AY2021-1","1-6, 8-14",4,"16:00","18:00","Y-CR17","YNC"
"YCC1122","L12","AY2021-1","1-6, 8-14",1,"16:00","18:00","Y-GLRm1","YNC"
"YCC1122","L12","AY2021-1","1-6, 8-14",4,"16:00","18:00","Y-GLRm1","YNC"
"YCC1122","L13","AY2021-1","1-6, 8-14",1,"16:00","18:00","Y-CompLab","YNC"
"YCC1122","L13","AY2021-1","1-6, 8-14",4,"16:00","18:00","Y-CompLab","YNC"
"YCC1122","L14","AY2021-1","1-6, 8-14",1,"16:00","18:00","Y-TCTLT","YNC"
"YCC1122","L14","AY2021-1","1-6, 8-14",4,"16:00","18:00","Y-TCTLT","YNC"
"YCC2121","L1","AY2021-1","1-6, 8-14",3,"10:30","12:00","UTSRC-LT51","UTown"
"YCC2121","L1","AY2021-1","1-6, 8-14",6,"10:30","12:00","UTSRC-LT51","UTown"
"YCC2121","L2","AY2021-1","1-6, 8-14",3,"10:30","12:00","Y-CR15","YNC"
"YCC2121","L2","AY2021-1","1-6, 8-14",5,"10:30","12:00","Y-CR15","YNC"
"YCC2121","L3","AY2021-1","1-6, 8-14",3,"10:30","12:00",NA,NA
"YCC2121","L3","AY2021-1","1-6, 8-14",5,"10:30","12:00",NA,NA
"YCC2121","L4","AY2021-1","1-6, 8-14",3,"10:30","12:00","UTTP-GLR","UTown"
"YCC2121","L4","AY2021-1","1-6, 8-14",5,"10:30","12:00","Y-PerfHall","YNC"
"YCC2121","L5","AY2021-1","1-6, 8-14",3,"10:30","12:00","Y-CR17","YNC"
"YCC2121","L5","AY2021-1","1-6, 8-14",5,"10:30","12:00","Y-CR17","YNC"
"YCC2121","L6","AY2021-1","1-6, 8-14",3,"10:30","12:00","Y-GLRm1","YNC"
"YCC2121","L6","AY2021-1","1-6, 8-14",5,"10:30","12:00","Y-GLRm1","YNC"
"YCC2121","L7","AY2021-1","1-6, 8-14",3,"10:30","12:00","Y-BlackBox","YNC"
